Case Number,Title,Settlement Amount,Date,Link
Case No. 1:11-cv-11732,Texas Roadhouse to Pay $12 Million to Settle EEOC Age Discrimination Lawsuit,$12,03-31-2017,https://www.eeoc.gov/newsroom/texas-roadhouse-pay-12-million-settle-eeoc-age-discrimination-lawsuit
Case No. 2:15-cv-00340,"Disability Services Company to Pay $100,000 to Settle EEOC Disability Discrimination Lawsuit","$100,000",03-28-2017,https://www.eeoc.gov/newsroom/disability-services-company-pay-100000-settle-eeoc-disability-discrimination-lawsuit
Case No. 4:16-cv-1333,"Kasco to Pay $110,000 to Settle EEOC Discrimination and Retaliation Lawsuit","$110,000",03-22-2017,https://www.eeoc.gov/newsroom/kasco-pay-110000-settle-eeoc-discrimination-and-retaliation-lawsuit
Case No. 2:16-cv-13093,"New Image Building Services to Pay $16,000 to Settle EEOC Disability Discrimination Suit","$16,000",03-10-2017,https://www.eeoc.gov/newsroom/new-image-building-services-pay-16000-settle-eeoc-disability-discrimination-suit
Case No. 1:15-cv-01222,"Magnolia Health Corporation to Pay $325,000 To Settle EEOC Class Disability Discrimination Case","$325,000",03-08-2017,https://www.eeoc.gov/newsroom/magnolia-health-corporation-pay-325000-settle-eeoc-class-disability-discrimination-case
Case No. 1:16-cv-02788,"Cushman & Wakefield will Pay $100,000 to Settle EEOC Disability Discrimination Lawsuit","$100,000",03-03-2017,https://www.eeoc.gov/newsroom/cushman-wakefield-will-pay-100000-settle-eeoc-disability-discrimination-lawsuit
Case No. 3:15-cv-00261,"Graceworks Lutheran Services to Pay $30,660 to Settle EEOC Disability Discrimination Lawsuit","$30,660",02-23-2017,https://www.eeoc.gov/newsroom/graceworks-lutheran-services-pay-30660-settle-eeoc-disability-discrimination-lawsuit
Case No. 8:16-cv-02936,"Life Time Fitness Will Pay $86,000 to Settle EEOC Pregnancy Discrimination Lawsuit","$86,000",02-23-2017,https://www.eeoc.gov/newsroom/life-time-fitness-will-pay-86000-settle-eeoc-pregnancy-discrimination-lawsuit
Case No. 3:15-cv-00641,"S&B Industry to Pay $110,000 to Settle EEOC Disability Discrimination Suit","$110,000",02-23-2017,https://www.eeoc.gov/newsroom/sb-industry-pay-110000-settle-eeoc-disability-discrimination-suit
Case No. 4:16-cv-02909,"Diallo's Of Houston to Pay $139,366 to Resolve  EEOC Disability Discrimination Lawsuit","$139,366",01-09-2017,https://www.eeoc.gov/newsroom/diallos-houston-pay-139366-resolve-eeoc-disability-discrimination-lawsuit
Case No. 1:16-cv-852,"Kevothermal, LLC to Pay $60,000 to Settle EEOC Equal Pay and National Origin Discrimination Lawsuit","$60,000",01-03-2017,https://www.eeoc.gov/newsroom/kevothermal-llc-pay-60000-settle-eeoc-equal-pay-and-national-origin-discrimination-lawsuit
Case No. 3:15-cv-02164,"Mexicali Chicken & Salads Ordered To Pay $27,700 to Resolve Sexual Harassment Lawsuit Filed By EEOC","$27,700",12-30-2016,https://www.eeoc.gov/newsroom/mexicali-chicken-salads-ordered-pay-27700-resolve-sexual-harassment-lawsuit-filed-eeoc
Case No. 8:15-cv-02342,"Dimensions Healthcare System to Pay $125,000 to Settle EEOC Sex and Pregnancy Discrimination Lawsuit","$125,000",12-20-2016,https://www.eeoc.gov/newsroom/dimensions-healthcare-system-pay-125000-settle-eeoc-sex-and-pregnancy-discrimination
Case No. 1:13-cv-00473,"Outokumpu Stainless USA, LLC to Pay $150,000 to Settle Race Discrimination Lawsuit with EEOC","$150,000",12-16-2016,https://www.eeoc.gov/newsroom/outokumpu-stainless-usa-llc-pay-150000-settle-race-discrimination-lawsuit-eeoc
Case No. 5:15-cv-01066,"OnSite Solutions to Pay $50,000 to Settle Race Discrimination Charges","$50,000",11-15-2016,https://www.eeoc.gov/newsroom/onsite-solutions-pay-50000-settle-race-discrimination-charges
Case No. 1:13-cv-03225,Georgia Power to Pay over $1.5 Million to Settle EEOC Disability Discrimination Suit,$1.5,11-15-2016,https://www.eeoc.gov/newsroom/georgia-power-pay-over-15-million-settle-eeoc-disability-discrimination-suit
Case No. 1:15-cv-02955,"Safeway Will Rehire Store Clerk and Pay $27,000 to Settle EEOC Disability Discrimination Lawsuit","$27,000",11-02-2016,https://www.eeoc.gov/newsroom/safeway-will-rehire-store-clerk-and-pay-27000-settle-eeoc-disability-discrimination
Case No. 1:14-cv-05441,"BNV Home Care Agency to Pay $125,000 to Settle EEOC Genetic Discrimination Lawsuit","$125,000",11-01-2016,https://www.eeoc.gov/newsroom/bnv-home-care-agency-pay-125000-settle-eeoc-genetic-discrimination-lawsuit
Case No. 7:16-cv-00051,"ABC Phones of North Carolina to Pay $50,000 To Settle EEOC Same-Sex Harassment Lawsuit","$50,000",10-31-2016,https://www.eeoc.gov/newsroom/abc-phones-north-carolina-pay-50000-settle-eeoc-same-sex-harassment-lawsuit
Case No. 1:13-cv-01574,"Farmers Insurance Exchange to Pay $225,000 to Settle EEOC Race Discrimination Suit Involving Two Hmong - American Workers and Another Worker For Retaliation","$225,000",10-27-2016,https://www.eeoc.gov/newsroom/farmers-insurance-exchange-pay-225000-settle-eeoc-race-discrimination-suit-involving-two
Case No. 2:14-cv-0227,"Harrison Poultry to Pay $100,000 to Settle EEOC Disability Discrimination Lawsuit","$100,000",10-04-2016,https://www.eeoc.gov/newsroom/harrison-poultry-pay-100000-settle-eeoc-disability-discrimination-lawsuit
Case No. 5:15-cv-02017,"SOCI Petroleum / Santmyer Oil Company to Pay $50,000 to Settle EEOC Sex-Based Pay Discrimination Lawsuit","$50,000",09-22-2016,https://www.eeoc.gov/newsroom/soci-petroleum-santmyer-oil-company-pay-50000-settle-eeoc-sex-based-pay-discrimination
Case No. 2:14-cv-1696,"Texas Roadhouse Restaurant, Management Company to Pay $1.4M to Settle EEOC Sexual Harassment and Retaliation Suit",$1.4,09-21-2016,https://www.eeoc.gov/newsroom/texas-roadhouse-restaurant-management-company-pay-14m-settle-eeoc-sexual-harassment-and
Case No. 4:16-cv-00094,"Greenville Ready Mixed Concrete to Pay $42,500  To Settle EEOC Religious Discrimination Lawsuit","$42,500",09-08-2016,https://www.eeoc.gov/newsroom/greenville-ready-mixed-concrete-pay-42500-settle-eeoc-religious-discrimination-lawsuit
Case No. 2:14-cv-02740,"SFI of Tennessee to Pay $210,000  To Settle EEOC Race Discrimination Lawsuit","$210,000",09-07-2016,https://www.eeoc.gov/newsroom/sfi-tennessee-pay-210000-settle-eeoc-race-discrimination-lawsuit
Case No. 7:15-cv-00160,"Regis Corporation to Pay $60,000 to Settle EEOC Disability Discrimination Suit","$60,000",08-25-2016,https://www.eeoc.gov/newsroom/regis-corporation-pay-60000-settle-eeoc-disability-discrimination-suit
Case No. 1:16-cv-00197,"Windsor Inn Will Pay $200,000 to Settle EEOC Sexual Harassment and Retaliation Lawsuit","$200,000",08-22-2016,https://www.eeoc.gov/newsroom/windsor-inn-will-pay-200000-settle-eeoc-sexual-harassment-and-retaliation-lawsuit
Case No. 1:13-cv-3144,"Georgia Council for the Hearing-Impaired  To Pay $10,000 to Settle EEEOC Retaliation Lawsuit","$10,000",08-11-2016,https://www.eeoc.gov/newsroom/georgia-council-hearing-impaired-pay-10000-settle-eeeoc-retaliation-lawsuit
Case No. 2:15-cv-01269,"Amtrak to Pay $112,000 to Settle  EEOC Disability Discrimination Lawsuit","$112,000",08-10-2016,https://www.eeoc.gov/newsroom/amtrak-pay-112000-settle-eeoc-disability-discrimination-lawsuit
Case No. 1:15-cv-02170,"Reserve Casino Hotel to Pay $250,000 to Settle EEOC Age and Sex Discrimination Lawsuit","$250,000",07-06-2016,https://www.eeoc.gov/newsroom/reserve-casino-hotel-pay-250000-settle-eeoc-age-and-sex-discrimination-lawsuit
Case No. 6:15-cv-00102,"DHD Ventures Management Company, Inc. To Pay $40,000 to Settle EEOC Racial Harassment and Retaliation Lawsuit","$40,000",06-29-2016,https://www.eeoc.gov/newsroom/dhd-ventures-management-company-inc-pay-40000-settle-eeoc-racial-harassment-and
Case No. 2:10-cv-03095,"Newark Port Automobile Processing Facility to Pay $350,000 to Settle EEOC Race Discrimination Suit","$350,000",06-15-2016,https://www.eeoc.gov/newsroom/newark-port-automobile-processing-facility-pay-350000-settle-eeoc-race-discrimination-suit
Case No. 9:15-cv-04047,"South Carolina Nursing Home to Pay $40,000 to Settle EEOC Race Discrimination Lawsuit","$40,000",06-09-2016,https://www.eeoc.gov/newsroom/south-carolina-nursing-home-pay-40000-settle-eeoc-race-discrimination-lawsuit
Case No. 2:14-cv-13757,"Kroger to Pay $33,000 to Settle  EEOC Disability Discrimination Suit","$33,000",06-01-2016,https://www.eeoc.gov/newsroom/kroger-pay-33000-settle-eeoc-disability-discrimination-suit
Case No. 3:15-cv-01041,"First Call Ambulance Service to Pay $55,000 to Settle EEOC Pregnancy Discrimination Lawsuit","$55,000",05-27-2016,https://www.eeoc.gov/newsroom/first-call-ambulance-service-pay-55000-settle-eeoc-pregnancy-discrimination-lawsuit
Case No. 4:15-cv-00066,"American Casing & Equipment Will Pay $250,000 to Settle EEOC Discrimination and Retaliation Suit","$250,000",05-24-2016,https://www.eeoc.gov/newsroom/american-casing-equipment-will-pay-250000-settle-eeoc-discrimination-and-retaliation-suit
Case No. 0:15-cv-61997,"McWhite's Funeral Home to Pay $85,000 to Settle EEOC Sexual Harassment and Retaliation Lawsuit","$85,000",05-23-2016,https://www.eeoc.gov/newsroom/mcwhites-funeral-home-pay-85000-settle-eeoc-sexual-harassment-and-retaliation-lawsuit
Case No. 1:14-cv-290,"Office Concepts to Pay $45,000 to Settle EEOC Pregnancy Discrimination Suit","$45,000",05-19-2016,https://www.eeoc.gov/newsroom/office-concepts-pay-45000-settle-eeoc-pregnancy-discrimination-suit
Case No. 3:15-cv-00727,"Zoo Printing Agrees to Pay $110,000 to Settle EEOC Disability and Retaliation Discrimination Lawsuit","$110,000",05-19-2016,https://www.eeoc.gov/newsroom/zoo-printing-agrees-pay-110000-settle-eeoc-disability-and-retaliation-discrimination
Case No. 5:15-cv-05282,"Landis Communities and Landis Homes Retirement Community Will Pay $132,500 to Resolve EEOC Suit","$132,500",05-11-2016,https://www.eeoc.gov/newsroom/landis-communities-and-landis-homes-retirement-community-will-pay-132500-resolve-eeoc-suit
Case No. 1:13-cv-00698,"Maui County Police Department to Pay $24,000 to Settle EEOC Age Discrimination Suit","$24,000",05-10-2016,https://www.eeoc.gov/newsroom/maui-county-police-department-pay-24000-settle-eeoc-age-discrimination-suit
Case No. 0:14-cv-3408,"Cummins Power Generation to Pay Over $87,000 to Resolve EEOC Disability Lawsuit","$87,000",05-09-2016,https://www.eeoc.gov/newsroom/cummins-power-generation-pay-over-87000-resolve-eeoc-disability-lawsuit
Case No. 4:14-cv-03588,Lawler Foods to Pay over $1 Million to Settle  EEOC Race and National Origin Discrimination Suit,$1,04-26-2016,https://www.eeoc.gov/newsroom/lawler-foods-pay-over-1-million-settle-eeoc-race-and-national-origin-discrimination-suit
Case No. 5:15-cv-04444,"Milpitas to Pay $140,000 to Settle EEOC Age Discrimination Suit","$140,000",04-15-2016,https://www.eeoc.gov/newsroom/milpitas-pay-140000-settle-eeoc-age-discrimination-suit
Case No. 1:14-cv-00973,"RockTenn to Pay $187,500 to Settle EEOC Disability Discrimination Suit","$187,500",04-14-2016,https://www.eeoc.gov/newsroom/rocktenn-pay-187500-settle-eeoc-disability-discrimination-suit
Case No. 1:15-cv-00486,"Coca-Cola Bottling Of Mobile to Pay $35,000 to Settle EEOC Sex Discrimination Suit","$35,000",04-12-2016,https://www.eeoc.gov/newsroom/coca-cola-bottling-mobile-pay-35000-settle-eeoc-sex-discrimination-suit
Case No. 2:15-cv-00113,"Neenah Paper to Pay $33,000 to Settle EEOC Disability Discrimination Suit","$33,000",04-07-2016,https://www.eeoc.gov/newsroom/neenah-paper-pay-33000-settle-eeoc-disability-discrimination-suit
Case No. 3:14-cv-00181,"NFI Roadrail and NFI Industries to Pay $45,000 to Settle EEOC Pay Discrimination Suit","$45,000",03-14-2016,https://www.eeoc.gov/newsroom/nfi-roadrail-and-nfi-industries-pay-45000-settle-eeoc-pay-discrimination-suit
Case No. 0:14-cv-00599,PMT Corporation to Pay over $1 Million to Resolve EEOC Class Age and Sex Discrimination Lawsuit,$1,03-07-2016,https://www.eeoc.gov/newsroom/pmt-corporation-pay-over-1-million-resolve-eeoc-class-age-and-sex-discrimination-lawsuit
Case No. 3:11-cv-01964,"AT&T to Pay $250,000 and Reinstate Employee to Settle EEOC Disability Discrimination Lawsuit","$250,000",03-02-2016,https://www.eeoc.gov/newsroom/att-pay-250000-and-reinstate-employee-settle-eeoc-disability-discrimination-lawsuit
Case No. 4:15-cv-00176,"Quality Solutions, LLC to Pay $22,500 to Settle EEOC Pregnancy Discrimination Suit","$22,500",02-22-2016,https://www.eeoc.gov/newsroom/quality-solutions-llc-pay-22500-settle-eeoc-pregnancy-discrimination-suit
Case No. 2:15-cv-01166,"Cessna Aircraft Company to Pay over $160,000 In EEOC Disability Discrimination Suit","$160,000",02-18-2016,https://www.eeoc.gov/newsroom/cessna-aircraft-company-pay-over-160000-eeoc-disability-discrimination-suit
Case No. 0:15-cv-62061,"Vacation Resorts International to Pay $125,000 to Settle EEOC Sexual Harassment / Retaliation Suit","$125,000",02-17-2016,https://www.eeoc.gov/newsroom/vacation-resorts-international-pay-125000-settle-eeoc-sexual-harassment-retaliation-suit
Case No. 1:15-cv-01592,Vail Condo Association Will Pay Over $1 Million to Settle EEOC National Origin Discrimination and Sexual Harassment Lawsuit,$1,02-12-2016,https://www.eeoc.gov/newsroom/vail-condo-association-will-pay-over-1-million-settle-eeoc-national-origin-discrimination
Case No. 1:15-cv-02484,"National Federation for the Blind Will Pay $25,000 to Settle EEOC Religious Accommodation Lawsuit","$25,000",02-08-2016,https://www.eeoc.gov/newsroom/national-federation-blind-will-pay-25000-settle-eeoc-religious-accommodation-lawsuit
Case No. 6:15-cv-00154,"Rental Pro to Pay $37,000 to Settle EEOC Age Discrimination Lawsuit","$37,000",02-02-2016,https://www.eeoc.gov/newsroom/rental-pro-pay-37000-settle-eeoc-age-discrimination-lawsuit
Case No. 4:15-cv-13060,"Downriver Community Services Will Pay $31,000 to Settle EEOC Disability Discrimination Lawsuit","$31,000",01-20-2016,https://www.eeoc.gov/newsroom/downriver-community-services-will-pay-31000-settle-eeoc-disability-discrimination-lawsuit
Case No. 5:14-cv-26250,"Rhino Energy WV Will Pay $62,500 to Settle EEOC National Origin Discrimination and Retaliation Suit","$62,500",01-20-2016,https://www.eeoc.gov/newsroom/rhino-energy-wv-will-pay-62500-settle-eeoc-national-origin-discrimination-and-retaliation
Case No. 1:15-cv-01246,"Stanley Martin Companies, LLC Will Pay $45,000 to Settle EEOC Sex Discrimination Suit","$45,000",01-11-2016,https://www.eeoc.gov/newsroom/stanley-martin-companies-llc-will-pay-45000-settle-eeoc-sex-discrimination-suit
Case No. 3:15-cv-350,"Seymour Midwest to Pay $100,000 to Resolve EEOC Age Discrimination Lawsuit","$100,000",01-06-2016,https://www.eeoc.gov/newsroom/seymour-midwest-pay-100000-resolve-eeoc-age-discrimination-lawsuit
Case No. 1:15-cv-02536,"Hearn-Kirkwood Will Pay $63,500 to Resolve EEOC Pay Discrimination and Retaliation Lawsuit","$63,500",01-05-2016,https://www.eeoc.gov/newsroom/hearn-kirkwood-will-pay-63500-resolve-eeoc-pay-discrimination-and-retaliation-lawsuit
Case No. 2:12-cv-0557,"Signal International, LLC to Pay $5 Million to Settle EEOC Race, National Origin Lawsuit",$5,12-18-2015,https://www.eeoc.gov/newsroom/signal-international-llc-pay-5-million-settle-eeoc-race-national-origin-lawsuit
Case No. 4:12-cv-00075,"Tepro, Inc. To Pay $600,000 to Settle EEOC Age Discrimination Suit","$600,000",12-17-2015,https://www.eeoc.gov/newsroom/tepro-inc-pay-600000-settle-eeoc-age-discrimination-suit
Case No. 1:15-cv-00845,"Shefa Wellness Center to Pay $37,000 to Settle EEOC Pregnancy Discrimination Suit","$37,000",12-02-2015,https://www.eeoc.gov/newsroom/shefa-wellness-center-pay-37000-settle-eeoc-pregnancy-discrimination-suit
Case No. 1:15-cv-01946,"OHM Concessions Will Pay $151,000 to Settle EEOC Disability Discrimination Suit","$151,000",11-30-2015,https://www.eeoc.gov/newsroom/ohm-concessions-will-pay-151000-settle-eeoc-disability-discrimination-suit
Case No. 4:14-cv-00564,"Kroger to Pay $42,500 to Settle EEOC Sexual Harassment Suit","$42,500",11-13-2015,https://www.eeoc.gov/newsroom/kroger-pay-42500-settle-eeoc-sexual-harassment-suit
Case No. 3:14-cv-00808,"Baker Wellness Center to Pay $30,000 to Settle EEOC Disability Discrimination Lawsuit","$30,000",10-30-2015,https://www.eeoc.gov/newsroom/baker-wellness-center-pay-30000-settle-eeoc-disability-discrimination-lawsuit
Case No. 1:14-cv-02206,"Potato Packing Companies to Pay $450,000 to Settle EEOC Suit for Sex Harassment and Retaliation","$450,000",10-07-2015,https://www.eeoc.gov/newsroom/potato-packing-companies-pay-450000-settle-eeoc-suit-sex-harassment-and-retaliation
Case No. 1:14-cv-02102,"Blinded Veterans Association Will Pay over $150,000 to Settle EEOC Age Discrimination Lawsuit","$150,000",09-29-2015,https://www.eeoc.gov/newsroom/blinded-veterans-association-will-pay-over-150000-settle-eeoc-age-discrimination-lawsuit
Case No. 4:13-cv-01279,"Tucson-Area Trucking Company CTI to Pay $300,000 to Settle EEOC Disability Discrimination Lawsuit","$300,000",09-23-2015,https://www.eeoc.gov/newsroom/tucson-area-trucking-company-cti-pay-300000-settle-eeoc-disability-discrimination-lawsuit
Case No. 3:15-cv-60,"Stack Bros. to Pay $140,000 to Settle EEOC Age Discrimination and Retaliation Suit","$140,000",09-18-2015,https://www.eeoc.gov/newsroom/stack-bros-pay-140000-settle-eeoc-age-discrimination-and-retaliation-suit
Case No. 2:15-cv-00411,"Renaissance School to Pay $69,000 to Settle EEOC Age and Sex Bias Suit","$69,000",09-04-2015,https://www.eeoc.gov/newsroom/renaissance-school-pay-69000-settle-eeoc-age-and-sex-bias-suit
Case No. 2:15-cv-00436,"Yuma-Area Health Center to Pay $50,000 to Settle EEOC Retaliation Lawsuit","$50,000",08-21-2015,https://www.eeoc.gov/newsroom/yuma-area-health-center-pay-50000-settle-eeoc-retaliation-lawsuit
Case No. 1:11-cv-00355,"Mississippi HomeCare of Picayune to Pay $100,000 to Settle EEOC Disability Discrimination Suit","$100,000",08-18-2015,https://www.eeoc.gov/newsroom/mississippi-homecare-picayune-pay-100000-settle-eeoc-disability-discrimination-suit
Case No. 2:14-cv-1186,"Hufcor, Inc. to Pay $120,000 to Settle EEOC Sexual Harassment and Retaliation Suit","$120,000",08-17-2015,https://www.eeoc.gov/newsroom/hufcor-inc-pay-120000-settle-eeoc-sexual-harassment-and-retaliation-suit
Case No. 2:13-cv-14076,"The Pines of Clarkston to Pay $42,500 to Settle EEOC  Disability Discrimination Lawsuit","$42,500",08-06-2015,https://www.eeoc.gov/newsroom/pines-clarkston-pay-42500-settle-eeoc-disability-discrimination-lawsuit
Case No. 5:14-cv-00801,"Taprite Fassco to Pay $72,500 to Settle EEOC Sex, Disability and Retaliation Discrimination Suit","$72,500",07-31-2015,https://www.eeoc.gov/newsroom/taprite-fassco-pay-72500-settle-eeoc-sex-disability-and-retaliation-discrimination-suit
Case No. 4:14-cv-00205,"Building Materials Manufacturing Corp to Pay $62,500 to Settle EEOC Disability Lawsuit","$62,500",07-23-2015,https://www.eeoc.gov/newsroom/building-materials-manufacturing-corp-pay-62500-settle-eeoc-disability-lawsuit
Case No. 2:15-cv-02261,"McLane Foodservice to Pay $40,000 to Settle EEOC Disability Discrimination Lawsuit","$40,000",07-23-2015,https://www.eeoc.gov/newsroom/mclane-foodservice-pay-40000-settle-eeoc-disability-discrimination-lawsuit
Case No. 4:15-cv-00014,"Savannah Toyota to Pay $30,000 to Settle EEOC  Sexual Harassment Lawsuit","$30,000",07-21-2015,https://www.eeoc.gov/newsroom/savannah-toyota-pay-30000-settle-eeoc-sexual-harassment-lawsuit
Case No. 1:15-cv-00043,"Winston-Salem Health Care Company Will Pay $48,000 to Settle EEOC  Pregnancy Discrimination Lawsuit","$48,000",07-16-2015,https://www.eeoc.gov/newsroom/winston-salem-health-care-company-will-pay-48000-settle-eeoc-pregnancy-discrimination
Case No. 4:14-cv-02775,"Waste Connections to Pay $45,000 to Settle EEOC Disability Discrimination Lawsuit","$45,000",07-14-2015,https://www.eeoc.gov/newsroom/waste-connections-pay-45000-settle-eeoc-disability-discrimination-lawsuit
Case No. 2:13-cv-0245,"Merrilville Ultra Foods to Pay $200,000 to Settle EEOC Sex Discrimination Suit","$200,000",07-10-2015,https://www.eeoc.gov/newsroom/merrilville-ultra-foods-pay-200000-settle-eeoc-sex-discrimination-suit
Case No. 3:13-cv-01662,"Kyklos Bearing International Will Pay $50,000 to Settle EEOC Disability Discrimination Lawsuit","$50,000",06-24-2015,https://www.eeoc.gov/newsroom/kyklos-bearing-international-will-pay-50000-settle-eeoc-disability-discrimination-lawsuit
Case No. 2:15-cv-02153,"Noodles Asian Bistro to Pay $25,000 to Settle EEOC Pregnancy Discrimination Lawsuit","$25,000",06-24-2015,https://www.eeoc.gov/newsroom/noodles-asian-bistro-pay-25000-settle-eeoc-pregnancy-discrimination-lawsuit
Case No. 2:14-cv-02674,"KONE  Inc. to Pay $85,500 to Settle EEOC Retaliation and Breach of Mediation Agreement Lawsuit","$85,500",06-18-2015,https://www.eeoc.gov/newsroom/kone-inc-pay-85500-settle-eeoc-retaliation-and-breach-mediation-agreement-lawsuit
Case No. 2:11-cv-01588,"Pioneer Hotel to Pay $150,000 to Settle EEOC National Origin / Color Harassment & Discrimination Suit","$150,000",06-17-2015,https://www.eeoc.gov/newsroom/pioneer-hotel-pay-150000-settle-eeoc-national-origin-color-harassment-discrimination-suit
Case No. 8:13-cv-02655,"Wal-Mart Stores East to Pay $75,000 to Settle EEOC National Origin / Religious Harassment and Retaliation Lawsuit","$75,000",06-12-2015,https://www.eeoc.gov/newsroom/wal-mart-stores-east-pay-75000-settle-eeoc-national-origin-religious-harassment-and
Case No. 6:15-cv-00109,"Ruby Tuesday to Pay $100,000 to Settle EEOC Sex Discrimination Lawsuit","$100,000",05-21-2015,https://www.eeoc.gov/newsroom/ruby-tuesday-pay-100000-settle-eeoc-sex-discrimination-lawsuit
Case No. 5:14-cv-00362,"H2H Enterprises / Huddle House #670 to Pay $15,000 to Settle EEOC Racial Harassment Lawsuit","$15,000",05-21-2015,https://www.eeoc.gov/newsroom/h2h-enterprises-huddle-house-670-pay-15000-settle-eeoc-racial-harassment-lawsuit
Case No. 3:14-cv-00210,"Magnolia Place Personal Care Home to Pay $20,000 to Settle EEOC Pregnancy Discrimination Lawsuit","$20,000",04-30-2015,https://www.eeoc.gov/newsroom/magnolia-place-personal-care-home-pay-20000-settle-eeoc-pregnancy-discrimination-lawsuit
Case No. 1:13-cv-02860,"Red Lobster Restaurants Will Pay $160,000 to Settle EEOC Sexual Harassment Lawsuit","$160,000",04-29-2015,https://www.eeoc.gov/newsroom/red-lobster-restaurants-will-pay-160000-settle-eeoc-sexual-harassment-lawsuit
Case No. 7:13-cv-203,"Newport News Industrial Corporation Agrees to Pay $65,000 in EEOC Retaliation Lawsuit","$65,000",04-27-2015,https://www.eeoc.gov/newsroom/newport-news-industrial-corporation-agrees-pay-65000-eeoc-retaliation-lawsuit
Case No. 1:14-cv-03076,"Rinnier Development and Related Companies to Pay $25,000 to Settle EEOC Race Discrimination Lawsuit","$25,000",04-22-2015,https://www.eeoc.gov/newsroom/rinnier-development-and-related-companies-pay-25000-settle-eeoc-race-discrimination
Case No. 4:14-cv-00573,"Helmerich & Payne to Pay $59,000 to Settle EEOC Disability Discrimination Suit","$59,000",04-22-2015,https://www.eeoc.gov/newsroom/helmerich-payne-pay-59000-settle-eeoc-disability-discrimination-suit
Case No. 1:12-cv-01186,"Howard University Will Pay $35,000 to Settle EEOC Disability Discrimination Lawsuit","$35,000",04-20-2015,https://www.eeoc.gov/newsroom/howard-university-will-pay-35000-settle-eeoc-disability-discrimination-lawsuit
Case No. 8:14-cv-2421,"Lakeland Eye Clinic will Pay $150,000 to Resolve Transgender / Sex Discrimination Lawsuit","$150,000",04-13-2015,https://www.eeoc.gov/newsroom/lakeland-eye-clinic-will-pay-150000-resolve-transgender-sex-discrimination-lawsuit
Case No. 0:14-cv-02138,"Baldwin Supply Company to Pay $50,000 to Settle EEOC Disability Discrimination Lawsuit","$50,000",04-06-2015,https://www.eeoc.gov/newsroom/baldwin-supply-company-pay-50000-settle-eeoc-disability-discrimination-lawsuit
Case No. 8:14-cv-03091,"The Lash Group Will Pay $75,000 to Settle  EEOC Disability Discrimination Lawsuit","$75,000",03-18-2015,https://www.eeoc.gov/newsroom/lash-group-will-pay-75000-settle-eeoc-disability-discrimination-lawsuit
Case No. 3:14-cv-0211,"Save Edge to Pay $30,000 to Settle EEOC Disability Discrimination Suit","$30,000",03-17-2015,https://www.eeoc.gov/newsroom/save-edge-pay-30000-settle-eeoc-disability-discrimination-suit
Case No. 3:14-cv-00152,"Suncup / Gregory Packaging to Pay $125,000 to Settle EEOC Disability Discrimination Lawsuit","$125,000",03-13-2015,https://www.eeoc.gov/newsroom/suncup-gregory-packaging-pay-125000-settle-eeoc-disability-discrimination-lawsuit
Case No. 8:14-cv-03083,"First Title & Escrow / Streamline Title & Escrow to Pay $95,000 to Settle EEOC Disability Bias Lawsuit","$95,000",03-13-2015,https://www.eeoc.gov/newsroom/first-title-escrow-streamline-title-escrow-pay-95000-settle-eeoc-disability-bias-lawsuit
Case No. 2:14-cv-11172,"Lafontaine Cadillac Buick GMC to Pay $75,000 to Settle EEOC Racial Harassment Lawsuit","$75,000",03-11-2015,https://www.eeoc.gov/newsroom/lafontaine-cadillac-buick-gmc-pay-75000-settle-eeoc-racial-harassment-lawsuit
Case No. 1:14-cv-1005,"Savi Technology Will Pay $20,000 to Settle EEOC Pregnancy Discrimination Lawsuit","$20,000",03-02-2015,https://www.eeoc.gov/newsroom/savi-technology-will-pay-20000-settle-eeoc-pregnancy-discrimination-lawsuit
Case No. 8:14-cv-2116,"Windmill Farms Nurseries to Pay $40,000 to Settle EEOC Sexual Harassment Lawsuit and Retaliation","$40,000",03-02-2015,https://www.eeoc.gov/newsroom/windmill-farms-nurseries-pay-40000-settle-eeoc-sexual-harassment-lawsuit-and-retaliation
Case No. 3:14-cv-00908,"Wal-Mart to Pay $150,000 to Settle EEOC  Age and Disability Discrimination Suit","$150,000",02-19-2015,https://www.eeoc.gov/newsroom/wal-mart-pay-150000-settle-eeoc-age-and-disability-discrimination-suit
Case No. 2:10-cv-02717,"Skanska USA Building to Pay $95,000 to Settle EEOC  Racial Harassment and Retaliation Lawsuit","$95,000",01-29-2015,https://www.eeoc.gov/newsroom/skanska-usa-building-pay-95000-settle-eeoc-racial-harassment-and-retaliation-lawsuit
Case No. 2:14-cv-11287,"Hot Wheel City Will Pay $20,000 to Resolve EEOC Sexual Harassment and Retaliation Lawsuit","$20,000",01-26-2015,https://www.eeoc.gov/newsroom/hot-wheel-city-will-pay-20000-resolve-eeoc-sexual-harassment-and-retaliation-lawsuit
Case No. 02:14-cv-527,"EZEFLOW USA, Inc. Will Pay $65,000 to Settle EEOC Disability Discrimination Lawsuit","$65,000",01-09-2015,https://www.eeoc.gov/newsroom/ezeflow-usa-inc-will-pay-65000-settle-eeoc-disability-discrimination-lawsuit
Case No. 2:14-cv-00338,"Maxim Healthcare Services Will Pay $75,000 to Settle EEOC Disability Discrimination Suit","$75,000",12-03-2014,https://www.eeoc.gov/newsroom/maxim-healthcare-services-will-pay-75000-settle-eeoc-disability-discrimination-suit
